rank,id,name,source,country,gender,age,image,current_worth,previous_worth
610,katharine-rayner,Katharine Rayner,"Media, automotive",United States,F,80,https://specials-images.forbesimg.com/imageserve/5ba4da0131358e5690cda4e8/416x416.jpg?background=000000&cropX1=10&cropX2=1436&cropY1=27&cropY2=1452,6.2,6.2
611,rajiv-bajaj,Rajiv Bajaj,Diversified,India,M,58,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,6.2,6.1
611,sanjiv-bajaj,Sanjiv Bajaj,Diversified,India,M,55,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,6.2,6.1
613,stephen-smith,Stephen Smith,Finance and investments,Canada,M,74,https://specials-images.forbesimg.com/imageserve/5fbe6669879eb794e10b9aeb/416x416.jpg?background=000000&cropX1=0&cropX2=1920&cropY1=117&cropY2=2038,6.1,6.2
614,baiju-bhatt,Baiju Bhatt,Stock trading app,United States,M,40,https://specials-images.forbesimg.com/imageserve/6014266aa90dc9911bc77894/416x416.jpg?background=000000&cropX1=384&cropX2=1720&cropY1=287&cropY2=1624,6.1,6.3
615,eric-lefkofsky,Eric Lefkofsky,"Groupon, investments",United States,M,56,https://specials-images.forbesimg.com/imageserve/5d8b03f422254b0008e167e5/416x416.jpg?background=000000&cropX1=831&cropX2=4268&cropY1=154&cropY2=3589,6.1,6.0
616,robert-bass,Robert Bass,"Oil, investments",United States,M,77,https://specials-images.forbesimg.com/imageserve/eb763e0ce54b28d44f850ffb6cfba5f2/416x416.jpg?background=000000&cropX1=0&cropX2=672&cropY1=3&cropY2=675,6.1,6.1
617,zhou-chaonan,Zhou Chaonan,Manufacturing,China,F,64,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,6.1,6.7
618,justin-ishbia,Justin Ishbia,Private equity,United States,M,47,https://specials-images.forbesimg.com/imageserve/645504d2fafe699af6eabd27/416x416.jpg?background=000000&cropX1=717&cropX2=1344&cropY1=133&cropY2=759,6.1,6.2
619,michael-intrator,Michael Intrator,Technology ,United States,M,56,https://specials-images.forbesimg.com/imageserve/67e45d9ea7e2334e54fd2bfd/416x416.jpg?background=000000&cropX1=1267&cropX2=2204&cropY1=165&cropY2=1101,6.1,6.7
620,mitchell-morgan,Mitchell Morgan & family,Real estate,United States,M,71,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,6.1,6.1
